group,variant,shipped,f1_weighted,f1_macro,accuracy,fold_f1_std,seconds
text given to the model,"whole comment, drug-blind",False,0.7238725594997112,0.5666300562386247,0.7275999242280735,0.0089917075447538,238.4499666000047
text given to the model,"whole comment, drugs masked",False,0.7230552880278878,0.5642480503220341,0.7272210645955673,0.0079303465506913,323.183431999998
text given to the model,window k=0 + all features,True,0.7353254980523776,0.5862956754319434,0.7389657132032582,0.0037615805232105,72.35923330000514
text given to the model,window k=1 (+/- 1 sentence),False,0.7255129990814603,0.5686099702349426,0.7291153627580981,0.0065628253969642,105.28072419999808
text given to the model,window k=2 (+/- 2 sentences),False,0.72534874314618,0.5675905884157001,0.7296836522068574,0.0074461155946493,127.36654410000484
features on top of TF-IDF,TF-IDF only,False,0.709669746705195,0.5211654207365047,0.7357454063269558,0.0051775474274437,33.772377100001904
features on top of TF-IDF,+ handcrafted + VADER,False,0.7317008331216772,0.5765496440178254,0.7391551430195112,0.0105904019187853,59.28516300000047
features on top of TF-IDF,+ drug identity,False,0.7245289577463102,0.5652856653014668,0.7308202311043759,0.0076540280333956,59.2403065000035
features on top of TF-IDF,window k=0 + all features,True,0.7353254980523776,0.5862956754319434,0.7389657132032582,0.0037615805232105,72.35923330000514
features on top of TF-IDF,all but the drug identity,False,0.7372617020659725,0.5883782343111282,0.7414283008145482,0.007473090041058548,75.1768333
handling the 72% neutral class,no class weights,False,0.7021470870722621,0.4721882243465884,0.7562038264822883,0.0074935508156794,66.02768420000211
handling the 72% neutral class,window k=0 + all features,True,0.7353254980523776,0.5862956754319434,0.7389657132032582,0.0037615805232105,72.35923330000514
