,representation,train_accuracy,train_f1_weighted,train_f1_macro,train_recall_macro,train_roc_auc_ovr,valid_accuracy,valid_f1_weighted,valid_f1_macro,valid_recall_macro,valid_roc_auc_ovr,fold_f1_std,seconds
LinearSVC,sparse,0.9426858083211231,0.9431564717837067,0.916564888720325,0.9282679694499038,0.9827094308453612,0.7298219022356953,0.7214315921504222,0.5543356165264934,0.5428578826019725,0.7768466653261356,0.01622846420196503,18.991694899999857
XGBoost,dense,0.9997165353346297,0.9997167017384733,0.9996351034808508,0.9998699602179322,0.999999891989904,0.7552103069344449,0.7092973379073751,0.4903368694849564,0.4643542014216003,0.7781947329277111,0.017306818411753702,91.63969789999828
LogisticRegression,sparse,0.9308411993900629,0.9329989956737277,0.907879618498366,0.9674012059820202,0.9932358168088337,0.6907919666540356,0.7023628398733902,0.5543615481594605,0.5756511472937114,0.7749914440712037,0.005887026416080558,21.71765790000063
GradientBoosting,dense,0.9758400970939312,0.9761560288444926,0.9669055282364116,0.9888831454597522,0.9993508753880864,0.7025388404698749,0.7017633267561469,0.5333248099142768,0.5334211345889198,0.7548177492330171,0.014023324952162254,30.385819300001458
SVC,dense,0.9581249568541674,0.9590450844762524,0.9443745997449678,0.9802684350973495,0.9958000223444584,0.6934444865479348,0.7001956849940988,0.5452777587570308,0.5601505278841009,0.7589228533720702,0.01759019219786879,47.13627819999965
LightGBM,dense,0.9999055712936734,0.999905626523911,0.9998786826542589,0.9999566818280268,0.999999891989904,0.753315649867374,0.7001797661594734,0.47100282717918623,0.44911170714290294,0.7692720174888031,0.02351402950987909,129.36590849999993
ComplementNB,counts,0.8912546045897397,0.8840153648783872,0.8119553623393054,0.7566177652673467,0.9473954204660158,0.7381583933308071,0.6791821221335944,0.4323077154148354,0.4222199135951506,0.6874789609779772,0.023783546933369492,0.38135740000143414
KNN,dense,1.0,1.0,1.0,1.0,1.0,0.7362637362637363,0.659169483775418,0.37996299982568305,0.3890887395429614,0.6962604963009148,0.022254895745872454,2.0248567999988154
RandomForest,dense,0.9989587246303632,0.9989596935038574,0.9985593406601112,0.9995214449356888,0.9999985967202282,0.7366426676771505,0.6425017234677269,0.34649947712944346,0.36711239420241326,0.7524236744791348,0.015071790162512038,23.589745699999185
DecisionTree,dense,0.8469989413647887,0.8557906252364015,0.8093629456018056,0.9146617874772822,0.9676780995869423,0.5414929897688519,0.5735857126681188,0.4193381376460972,0.4514267941590309,0.5838548010659039,0.02617806728436928,6.030013900002814
