drug,rows,majority_class_share,f1_weighted
ustekinumab,22,0.6818181818181818,0.5384615384615384
lucentis,67,0.6716417910447762,0.5743672939649578
tecentriq,34,0.6764705882352942,0.6400560224089636
gilenya,666,0.53003003003003,0.6520138431423647
ocrevus,676,0.6730769230769231,0.6571956203881221
eylea,65,0.7538461538461538,0.6581927876045522
ocrelizumab,441,0.6780045351473923,0.66671578533973
tysabri,29,0.5862068965517241,0.6687565308254962
afatinib,20,0.8,0.6857142857142857
xalkori,33,0.6363636363636364,0.6865407319952775
alectinib,43,0.6744186046511628,0.701063122923588
vedolizumab,24,0.8333333333333334,0.7142857142857143
mavenclad,28,0.7142857142857143,0.718671679197995
fingolimod,238,0.7184873949579832,0.7222158889395552
opdivo,224,0.7232142857142857,0.7251124448945551
tarceva,218,0.7614678899082569,0.7341606478350006
avastin,52,0.7884615384615384,0.7344413505046988
alimta,146,0.7945205479452054,0.7395582890690523
cladribine,200,0.78,0.7411245177202623
pembrolizumab,23,0.782608695652174,0.7524027459954233
keytruda,199,0.7537688442211056,0.7563830700202212
nivolumab,50,0.78,0.7596339869281047
crizotinib,43,0.8604651162790697,0.7722122838401908
stelara,161,0.7763975155279503,0.7775974025974026
remicade,229,0.7379912663755459,0.7807889571979221
ranibizumab,20,0.85,0.7810810810810811
humira,270,0.7888888888888889,0.7992012234315868
tagrisso,161,0.8136645962732919,0.7992655331785766
erlotinib,35,0.8857142857142857,0.8175824175824177
pemetrexed,33,0.8787878787878788,0.8220918866080157
vitrectomy,41,0.8536585365853658,0.8244570664884731
entyvio,303,0.8217821782178217,0.8336724331773836
durvalumab,27,0.9259259259259259,0.8903133903133904
osimertinib,29,0.896551724137931,0.8978288633461047
simponi,39,0.9487179487179487,0.9107692307692307
cimzia,48,0.9583333333333334,0.9274193548387096
yervoy,20,1.0,1.0
