dimension,slice,rows,share,f1_weighted,accuracy
comment length,< 500 chars,1674,0.31710551240765295,0.7181463215405397,0.7222222222222222
comment length,500-2k,2495,0.4726273915514302,0.7358248278802327,0.737875751503006
comment length,2k-8k,837,0.15855275620382647,0.7437369714132713,0.7491039426523297
comment length,> 8k,273,0.05171433983709036,0.8075214405686509,0.8205128205128205
first drug mention,not found,12,0.0022731577950369387,0.5136363636363636,0.5
first drug mention,first 10%,1090,0.20647849971585527,0.6510438553032103,0.6440366972477064
first drug mention,10-50%,2313,0.43815116499337,0.718049296998964,0.7233030696065715
first drug mention,after half,1864,0.3530971774957378,0.7977711026217945,0.8154506437768241
times the drug is mentioned,once,3274,0.6201932184125781,0.7617588926421628,0.7687843616371411
times the drug is mentioned,2-3 times,1395,0.26425459367304416,0.7001168934171171,0.7032258064516129
times the drug is mentioned,4+ times,610,0.11555218791437773,0.6665702645947467,0.660655737704918
other drugs in the comment,none,2947,0.5582496684978215,0.6817910122531288,0.6793349168646081
other drugs in the comment,1-2,1844,0.34930858117067626,0.7772290262950482,0.794468546637744
other drugs in the comment,3+,488,0.09244175033150218,0.858934617520884,0.889344262295082
how the drug name matched,exact,5267,0.9977268422049631,0.7356586502056857,0.739510157584963
how the drug name matched,none,12,0.0022731577950369387,0.5136363636363636,0.5
comment shared with another drug,one drug only,5093,0.9647660541769274,0.7257357656161544,0.7294325544865502
comment shared with another drug,shared,186,0.03523394582307255,1.0,1.0
