number,value,datetime_start,datetime_complete,duration,params_C,state,model,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0
0,0.7273618243711768,2026-09-15 08:27:24.127542,2026-09-15 08:28:07.784234,0 days 00:00:43.656692,0.08468008575248333,COMPLETE,LinearSVC,,,,,,,,
1,0.7089461497203083,2026-09-15 08:28:07.784299,2026-09-15 08:33:48.245038,0 days 00:05:40.460739,2.264824818951685,COMPLETE,LinearSVC,,,,,,,,
2,0.7110559570787898,2026-09-15 08:33:48.245135,2026-09-15 08:36:12.950376,0 days 00:02:24.705241,0.6504856968981276,COMPLETE,LinearSVC,,,,,,,,
3,0.7200216091172957,2026-09-15 08:36:12.950420,2026-09-15 08:37:51.365084,0 days 00:01:38.414664,0.3040532539286565,COMPLETE,LinearSVC,,,,,,,,
0,0.7128729770829829,2026-09-15 08:40:42.172822,2026-09-15 08:42:12.500302,0 days 00:01:30.327480,,COMPLETE,XGBoost,0.3935967122017216,0.1358198535217987,6.0,6.009974718380312,500.0,0.01555019165426488,0.6624074561769746,
1,0.7065754080846713,2026-09-15 08:42:12.500354,2026-09-15 08:45:54.027966,0 days 00:03:41.527612,,COMPLETE,XGBoost,0.7994655844802532,0.06714944960321372,6.0,1.0636066512540283,900.0,0.05022706182399988,0.9879639408647978,
2,0.7062443401514447,2026-09-15 08:45:54.028040,2026-09-15 08:46:54.543413,0 days 00:01:00.515373,,COMPLETE,XGBoost,0.47473748411882516,0.028941442788596318,4.0,4.816414530907083,400.0,1.0465133152078552,0.7727780074568463,
3,0.7028241054023604,2026-09-15 08:46:54.543475,2026-09-15 08:47:41.225954,0 days 00:00:46.682479,,COMPLETE,XGBoost,0.41980426929501585,0.03603084612270474,4.0,3.920673972242136,300.0,0.49831424930448204,0.9140703845572055,
4,0.7147569638865802,2026-09-15 08:47:41.226018,2026-09-15 08:52:34.077174,0 days 00:04:52.851156,,COMPLETE,XGBoost,0.8693313223520001,0.021962256150304792,6.0,1.6666983286066417,700.0,15.402113021890806,0.6260206371941118,
0,0.6893920896245017,2026-09-15 08:58:09.265854,2026-09-15 08:58:49.887083,0 days 00:00:40.621229,0.47156966780898374,COMPLETE,LogisticRegression,,,,,,,,
1,0.7081405034543297,2026-09-15 08:58:49.887120,2026-09-15 09:00:07.328200,0 days 00:01:17.441080,14.886262201211787,COMPLETE,LogisticRegression,,,,,,,,
2,0.7054281771424611,2026-09-15 09:00:07.328243,2026-09-15 09:01:13.952075,0 days 00:01:06.623832,4.014783718209775,COMPLETE,LogisticRegression,,,,,,,,
3,0.7018997185414346,2026-09-15 09:01:13.952116,2026-09-15 09:02:10.476223,0 days 00:00:56.524107,1.805989805778526,COMPLETE,LogisticRegression,,,,,,,,
4,0.6548408592281408,2026-09-15 09:02:10.476264,2026-09-15 09:02:39.163608,0 days 00:00:28.687344,0.12733267608983528,COMPLETE,LogisticRegression,,,,,,,,
5,0.6458476987416797,2026-09-15 09:02:39.163649,2026-09-15 09:02:50.652276,0 days 00:00:11.488627,0.12731427596811182,PRUNED,LogisticRegression,,,,,,,,
6,0.6345396846982445,2026-09-15 09:02:50.652317,2026-09-15 09:02:59.787662,0 days 00:00:09.135345,0.07081203049440488,PRUNED,LogisticRegression,,,,,,,,
7,0.7092592979695027,2026-09-15 09:02:59.787689,2026-09-15 09:04:15.171136,0 days 00:01:15.383447,8.970410111823023,COMPLETE,LogisticRegression,,,,,,,,
8,0.7018263079569625,2026-09-15 09:04:15.171179,2026-09-15 09:05:02.221092,0 days 00:00:47.049913,1.832767295593593,PRUNED,LogisticRegression,,,,,,,,
9,0.7033640001783324,2026-09-15 09:05:02.221117,2026-09-15 09:05:55.343938,0 days 00:00:53.122821,3.478702825799607,PRUNED,LogisticRegression,,,,,,,,
10,0.7088108597379985,2026-09-15 09:05:55.343963,2026-09-15 09:07:14.894703,0 days 00:01:19.550740,16.67600968944297,COMPLETE,LogisticRegression,,,,,,,,"{""C"": 16.67600968944297}"
11,0.70912398722069,2026-09-15 09:07:14.894749,2026-09-15 09:08:33.884814,0 days 00:01:18.990065,14.424953998414345,COMPLETE,LogisticRegression,,,,,,,,"{""C"": 14.424953998414345}"
